typing_speed,avg_pause,max_pause,min_pause,pause_variance,key_count,burst_typing,long_pause_count,pause_ratio,cognitive_load
23.6,0.030850752806052182,1.38022780418396,-4.644136428833008,0.625008418527826,118,3704.778995916794,2,0.022335745568254795,low
23.6,0.038762844525850736,0.978682279586792,-4.754750490188599,0.9450990583082732,118,2967.594532209221,0,0.03956675070432022,low
20.2,0.02345334053039549,1.1750078201293945,-4.882936716079712,1.0397800890915747,101,4130.315033009786,2,0.019943184159961585,low
16.4,0.057000704753546065,1.2008469104766881,-4.878313064575195,1.0266457061048384,82,1413.7759247655806,2,0.04742759186437306,low
15.4,0.055456352861304035,1.6910715103149485,-4.640710115432736,1.0609929214869978,77,1363.8854813941916,2,0.03277423709532338,low
13.8,0.07079189665177289,2.997829198837284,-4.721990823745731,1.3126927118354246,69,961.1112565347729,2,0.023606511727717126,low
17.2,0.05576899191912483,1.1734025478363037,-4.9540500640869105,1.1260902791697547,86,1514.9115228700684,3,0.04748711761727061,low
13.6,0.0035408717482837276,1.0792222023010254,-4.590909481048591,1.284054844625158,68,14975.098124209597,1,0.0032779105453870257,low
15.6,0.06384435876623376,0.8870244026184082,-4.896409034729004,0.9747804299732847,78,1202.8802733818804,0,0.0718948247120054,low
16.2,0.05211755335330963,0.8537702560424805,-4.668689966201789,0.8923429539419973,81,1524.9196336516331,0,0.06097258647558682,low
18.4,0.043035881859915595,1.3167839050292898,-4.900314331054673,0.914104417040239,92,2089.205350597158,2,0.03265776861871678,low
21.6,0.04315131178526121,1.2300467491149902,-4.840253829956062,0.9267964068240518,108,2446.133435973086,1,0.035052537051320797,low
30.6,0.03164092176838925,0.6559262275695659,-4.944084882736206,0.5427739848123712,153,4687.367626614368,0,0.0481651065835069,low
30.6,0.03247601421255814,1.690591812133789,-4.887762069702148,0.6320983626021373,153,4570.436582698182,2,0.019198493383337324,low
31.8,0.030989201763008213,0.7537527084350586,-4.864511251449585,0.5534231921177002,159,4970.427245354555,0,0.04105874866916708,low
30.6,0.03091262516222502,2.178903102874756,-4.921576738357544,0.6299851837854946,153,4794.3407733534295,1,0.014180733593827577,low
23.6,0.030420700709025066,2.289860248565674,-4.804980278015137,0.9041092454176415,118,3755.485948348265,4,0.013279160406258617,low
16.4,0.0037088776812141326,1.7083275318145752,-4.843462228775024,1.182863675600628,82,17413.915916129128,3,0.0021697875990313513,low
16.6,0.05260271560855028,1.2220637798309468,-4.908029556274414,0.9061791979529288,83,1548.4290125547388,2,0.043008971793622314,low
10.8,0.06112715433228691,0.7218992710113667,-4.912657976150513,0.9615784824238824,54,869.1851506859811,0,0.08455832891734338,low
12.2,0.07911963860193912,1.3292002677917623,-4.757300853729234,0.8596872000306449,61,761.3613973356544,2,0.0594794938158327,low
9.2,0.10293983353508812,0.9973742961883403,-3.6532323360442973,0.5952026295236763,46,442.563725912369,0,0.1031074557188608,low
10.2,0.092689018249512,1.3412811756134033,-4.60494446754457,0.8525714479945379,51,544.3540870945741,1,0.06905335479144632,low
7.6,0.13305191735963565,0.7235350608825541,-3.6647133827209473,0.4200745626299823,38,283.4722602143263,0,0.18363765198272872,low
7.4,0.11890878280003905,0.7542164325713969,-4.823944568634033,0.729440821081851,37,308.56788915705636,0,0.1574499410654675,low
7.2,0.14085918154035296,1.1761913299560547,-4.825302362442017,0.7866864274896995,36,253.77278797960298,1,0.1196569987867744,low
6.6,0.14140159636735916,1.3699989318847656,-4.485196590423584,0.7862315734611092,33,231.73897513668712,2,0.10313764152461366,low
8.4,0.11618648505792385,0.8336086273193359,-4.5596604347229,0.5733633015933862,42,358.40310407159933,0,0.13921074052529397,low
8.8,0.11163347820903045,0.5410676002502441,-4.452918767929077,0.5055543576006696,44,390.6476182715653,0,0.20594014133568422,low
6.2,0.11687820752461751,1.419691562652588,-4.2846057415008545,0.7347190534973795,31,262.9832998904908,1,0.08226853076145044,low
8.0,0.12163805961608887,0.7770535945892334,-4.81541109085083,0.6735074122632603,40,326.16302088615566,0,0.1563363506858504,low
6.0,0.13869997550701274,2.5709125995635986,-4.4576945304870605,0.9544741551135761,30,214.74592168768163,1,0.053928728188721235,low
7.8,0.11508814912093313,1.1505703926086426,-4.452041864395142,0.6033889941076016,39,335.9516048392874,1,0.09994017722201501,low
6.8,0.13766017104640152,1.2529659271240234,-4.399188041687012,0.7139553062914505,34,245.20379387547538,2,0.10977983378075173,low
6.8,0.1279702836816961,0.6987819671630859,-4.439312934875488,0.6746305673709323,34,263.6266202524093,0,0.18287165100936692,low
6.6,0.1270746961236,1.2489936351776123,-4.861225128173828,0.8846672212481268,33,257.66213778991096,2,0.10166027453855307,low
